操作日期,期限,操作量,操作利率,正/逆回购,爬取时间
2024-11-07,7,192,1.50,逆回购,2024-11-07 10:27:31
2024-11-06,7,173,1.50,逆回购,2024-11-07 10:27:31
2024-11-05,7,183,1.50,逆回购,2024-11-07 10:27:31
2024-11-04,7,173,1.50,逆回购,2024-11-07 10:27:31
2024-11-01,7,171,1.50,逆回购,2024-11-07 10:27:31
2024-10-31,7,3276,1.50,逆回购,2024-11-07 10:27:31
2024-10-30,7,4310,1.50,逆回购,2024-11-07 10:27:31
2024-10-29,7,3828,1.50,逆回购,2024-11-07 10:27:31
2024-10-28,7,2416,1.50,逆回购,2024-11-07 10:27:31
2024-10-25,7,2926,1.50,逆回购,2024-11-07 10:27:31
2024-10-24,7,7989,1.50,逆回购,2024-11-07 10:27:31
2024-10-23,7,7927,1.50,逆回购,2024-11-07 10:27:31
2024-10-22,7,1584,1.50,逆回购,2024-11-07 10:27:31
2024-10-21,7,2089,1.50,逆回购,2024-11-07 10:27:31
2024-10-18,7,1084,1.50,逆回购,2024-11-07 10:27:31
2024-10-17,7,1326,1.50,逆回购,2024-11-07 10:27:31
2024-10-16,7,6424,1.50,逆回购,2024-11-07 10:27:31
2024-10-15,7,683,1.50,逆回购,2024-11-07 10:27:31
2024-10-14,7,195,1.50,逆回购,2024-11-07 10:27:31
2024-10-12,7,232,1.50,逆回购,2024-11-07 10:27:31
2024-10-11,7,942,1.50,逆回购,2024-11-07 10:27:31
2024-10-10,7,1500,1.50,逆回购,2024-11-07 10:27:31
2024-10-09,7,610,1.50,逆回购,2024-11-07 10:27:31
2024-10-08,7,417,1.50,逆回购,2024-11-07 10:27:31
2024-09-30,7,2121,1.50,逆回购,2024-11-07 10:27:31
2024-09-29,7,1820,1.50,逆回购,2024-11-07 10:27:31
2024-09-27,14,2780,1.65,逆回购,2024-11-07 10:27:31
2024-09-26,14,2920,1.85,逆回购,2024-11-07 10:27:31
2024-09-25,14,1965,1.85,逆回购,2024-11-07 10:27:31
2024-09-24,14,4600,1.85,逆回购,2024-11-07 10:27:31
2024-09-23,7,1601,1.70,逆回购,2024-11-07 10:27:31
2024-09-23,14,745,1.85,逆回购,2024-11-07 10:27:31
2024-09-20,7,5719,1.70,逆回购,2024-11-07 10:27:31
2024-09-19,7,5236,1.70,逆回购,2024-11-07 10:27:31
2024-09-18,7,5682,1.70,逆回购,2024-11-07 10:27:31
2024-09-14,7,1387,1.70,逆回购,2024-11-07 10:27:31
2024-09-13,7,2362,1.70,逆回购,2024-11-07 10:27:31
2024-09-12,7,1608,1.70,逆回购,2024-11-07 10:27:31
2024-09-11,7,2100,1.70,逆回购,2024-11-07 10:27:31
2024-09-10,7,1860,1.70,逆回购,2024-11-07 10:27:31
2024-09-09,7,915,1.70,逆回购,2024-11-07 10:27:31
2024-09-06,7,1415,1.70,逆回购,2024-11-07 10:27:31
2024-09-05,7,633,1.70,逆回购,2024-11-07 10:27:31
2024-09-04,7,7,1.70,逆回购,2024-11-07 10:27:31
2024-09-03,7,12,1.70,逆回购,2024-11-07 10:27:31
2024-09-02,7,35,1.70,逆回购,2024-11-07 10:27:31
2024-08-30,7,301,1.70,逆回购,2024-11-07 10:27:31
2024-08-29,7,1509,1.70,逆回购,2024-11-07 10:27:31
2024-08-28,7,2773,1.70,逆回购,2024-11-07 10:27:31
2024-08-27,7,4725,1.70,逆回购,2024-11-07 10:27:31
2024-08-26,7,4710,1.70,逆回购,2024-11-07 10:27:31
2024-08-23,7,3793,1.70,逆回购,2024-11-07 10:27:31
2024-08-22,7,3593,1.70,逆回购,2024-11-07 10:27:31
2024-08-21,7,2580,1.70,逆回购,2024-11-07 10:27:31
2024-08-20,7,1491,1.70,逆回购,2024-11-07 10:27:31
2024-08-19,7,521,1.70,逆回购,2024-11-07 10:27:31
2024-08-16,7,1378,1.70,逆回购,2024-11-07 10:27:31
2024-08-15,7,5777,1.70,逆回购,2024-11-07 10:27:31
2024-08-14,7,3692,1.70,逆回购,2024-11-07 10:27:31
2024-08-13,7,3857,1.70,逆回购,2024-11-07 10:27:31
2024-08-12,7,745,1.70,逆回购,2024-11-07 10:27:31
2024-08-09,7,129,1.70,逆回购,2024-11-07 10:27:31
2024-08-08,7,71,1.70,逆回购,2024-11-07 10:27:31
2024-08-06,7,6.2,1.70,逆回购,2024-11-07 10:27:31
2024-08-05,7,6.7,1.70,逆回购,2024-11-07 10:27:31
2024-08-02,7,11.7,1.70,逆回购,2024-11-07 10:27:31
2024-08-01,7,103.7,1.70,逆回购,2024-11-07 10:27:31
2024-07-31,7,2516.7,1.70,逆回购,2024-11-07 10:27:31
2024-07-30,7,2162.7,1.70,逆回购,2024-11-07 10:27:31
